Num a	Num b	Num c
98.016	29.14	-26.771
0.738	15.111	-83.635
-64.121	-71.63	-57.481
-90.682	-52.108	-10.98
86.175	-84.05	-32.894
85.415	79.506	55.871
8.562	-32.653	43.069
99.723	89.919	23.163
-28.93	-70.599	98.814
-16.536	-1.479	87.987
81.875	-32.342	-50.991
60.163	-21.132	-85.843
28.488	-19.44	-59.554
10.698	24.119	97.99
-81.237	83.936	-21.755
67.124	-75.944	-10.025
66.15	63.54	-69.715
94.1	3.616	-29.379
55.89	77.613	62.987
12.338	11.434	34.897
98.729	-87.513	19.86
41.321	93.945	82.085
24.345	-37.709	-65.915
93.875	62.528	0.731
57.086	61.38	42.028
63.373	-4.184	98.894
-4.595	-8.514	86.19
-66.539	2.893	54.95
-10.596	81.189	8.128
-87.079	-99.608	-76.057
10.495	24.731	5.148
-23.871	-53.802	24.06
-70.663	54.076	33.724
-13.063	52.788	-45.892
94.152	-0.794	75.017
69.63	91.172	-49.478
-61.828	-45.595	21.435
-57.394	-13.727	-67.795
-76.194	70.142	-25.734
9.213	77.267	-73.513
-42.822	46.789	-22.732
-34.916	-13.542	-63.023
-11.821	1.68	-1.769
86.11	-35.405	-7.902
-31.119	-40.014	-68.034
22.944	81.291	33.149
13.073	39.505	27.467
-5.69	-71.061	65.418
84.187	-43.72	-5.978
-18.617	74.545	34.644
80.588	16.576	14.204
45.089	-8.494	89.197
-10.454	-5.721	-37.208
1.38	-78.814	-27.424
15.757	96.971	55.614
57.733	20.515	34.965
40.541	41.827	94.803
86.494	85.291	31.496
99.185	60.893	61.476
-92.146	68.563	-31.183
-17.41	97.179	89.938
98.897	-17.63	-74.138
49.316	-67.881	-1.403
-85.045	94.227	5.358
-85.284	40.071	34.095
59.552	-10.681	53.441
-3.675	47.452	-48.635
-59.546	23.147	-13.855
71.538	-48.281	49.253
-7.752	-66.478	0.097
65.803	-25.088	88.29
-6.355	-92.24	26.308
97.242	44.954	-97.387
-77.701	86.659	-18.346
-52.882	-13.131	21.516
-42.137	-24.263	-50.615
86.449	6.608	76.214
-77.166	42.215	25.436
-35.503	-68.908	-25.796
-21.85	-18.515	64.72
-66.946	-99.673	-99.881
18.099	-31.692	25.729
79.871	74.232	-14.021
-87.782	28.872	64.062
30.559	-95.196	-62.02
-57.078	-52.477	57.838
25.167	47.853	-55.227
44.654	26.341	-45.749
-83.104	6.199	-44.987
10.142	5.24	-15.812
-6.678	-32.17	55.783
7.676	59.564	95.406
74.189	47.612	96.067
-58.682	74.521	63.444
-57.485	-44.129	-38.805
7.174	40.948	55.676
-84.038	-33.962	87.957
37.11	26.3	-81.029
-81.991	49.626	84.143
-57.314	-73.794	54.409
13.898	74.738	-16.169
-63.066	80.044	40.785
82.197	46.216	95.29
7.3	-21.97	-28.288
-81.386	-61.209	91.202
-45.315	-95.63	8.565
25.169	69.029	-42.204
-4.892	26.718	-71.88
-2.052	-32.548	-47.615
91.845	-22.406	80.352
94.547	12.146	-52.556
70.261	-5.142	35.072
56.722	80.611	21.582
10.566	-95.246	-89.547
-7.15	74.54	12.485
-0.35	-66.71	-22.648
-37.363	20.132	-90.561
-69.873	36.131	18.241
54.22	0.844	-36.196
45.986	-62.45	20.295
68.192	24.638	-39.965
33.935	57.012	46.586
-90.335	-30.095	60.774
-49.158	2.279	-74.192
-0.061	-15.094	-80.907
-16.738	67.92	88.286
58.357	-56.207	-78.836
33.25	-59.427	-9.301
54.733	35.524	-0.421
-9.261	-92.842	-27.847
-78.152	47.042	-47.75
-48.511	16.445	20.078
-74.441	43.061	-46.181
-22.628	84.739	25.205
75.249	-76.939	18.86
65.376	89.861	-88.075
63.244	-20.626	-11.381
45.824	-7.27	40.374
-60.289	79.047	39.995
2.56	68.699	-67.452
57.389	48.155	46.592
-31.641	93.244	-8.595
7.703	-63.481	-21.194
-23.984	-95.068	57.603
81.219	53.371	-37.286
-92.8	29.149	29.608
-26.582	54.258	36.9
-84.474	25.991	2.669
72.703	-99.954	97.288
45.085	-97.78	-65.798
62.814	97.589	-56.728
-57.936	-31.177	-87.605
51.743	68.606	62.395
17.202	2.966	10.536
34.584	7.422	34.474
14.947	-27.765	-35.192
30.932	50.692	-58.222
20.723	-66.833	74.333
42.869	99.274	-63.036
94.482	-38.04	-43.17
41.489	-60.689	-29.38
-86.367	54.23	-82.967
-92.52	-91.944	94.212
36.559	82.117	70.096
-55.97	33.415	-41.692
80.395	-67.286	-57.976
-0.986	-67.548	70.999
-83.759	76.602	-28.307
-55.398	-14.622	-12.969
-23.134	-75.197	-83.463
20.766	71.85	-98.336
98.737	15.974	34.246
-61.879	95.308	-51.743
-92.093	41.449	-14.791
61.243	93.439	-95.392
-11.737	-35.825	67.852
2.205	20.529	-95.01
56.226	37.015	13.376
18.957	-87.848	16.803
90.303	-5.49	75.343
-40.355	-15.866	-10.188
71.623	-5.935	56.894
-6.257	-17.249	91.635
60.433	-50.702	7.139
5.174	-46.43	92.901
10.784	-27.385	-19.007
-23.732	-73.693	-66.05
57.969	39.032	76.122
-68.668	-93.522	70.182
90.759	-25.096	-4.07
-29.71	-87.641	-55.345
-26.057	54.853	25.746
85.648	-39.706	91.059
43.857	-88.671	47.537
-30.78	31.342	-99.268
-50.574	-80.873	-93.697
-41.09	1.323	92.638
-72.892	-62.325	39.585
-95.014	66.333	86.906
29.205	53.407	49.261
-76.144	16.562	18.197
-50.747	-77.567	-61.189
-93.507	77.888	-97.505
58.195	-97.792	-39.731
63.131	-40.985	20.596
-87.162	-70.679	-29.66
-97.61	-77.908	-12.509
-20.296	-62.438	-45.388
-85.133	31.418	-48.311
56.832	99.395	-24.993
-87.509	1.789	20.088
-24.919	-60.61	68.655
35.452	-99.685	71.554
-35.814	-17.111	10.463
-11.909	-52.867	-37.043
-2.919	-82.621	-47.34
97.235	-91.826	-63.588
71.464	70.772	-94.364
-36.994	95.372	34.255
-38.991	-29.8	-87.911
-77.581	77.592	-58.973
-3.452	-72.574	-12.831
74.989	4.257	93.608
9.071	26.347	-0.567
5.181	-94.428	99.74
28.771	-99.07	76.409
-16.721	-44.018	-45.632
-46.472	81.657	-67.795
-77.427	35.993	-96.214
-90.392	-71.134	-5.44
-25.163	-60.834	-87.869
-17.484	56.687	-70.235
56.506	-35.897	-65.906
32.758	55.082	13.816
-84.306	9.391	-4.922
85.103	99.783	-80.798
-91.842	88.331	-29.158
-34.64	-16.424	79.534
-95.141	25.503	29.3
0.64	64.87	43.355
-80.821	65.849	88.726
-31.307	-10.802	-12.235
74.213	-60.044	49.879
-41.375	-98.538	12.223
-30.233	-3.806	10.373
-69.956	36.17	22.646
-56.803	-62.194	-38.455
11.694	-76.256	37.199
-97.469	-42.489	-33.255
-91.954	25.549	-58.657
55.518	89.425	73.978
-72.43	-31.623	-69.659
81.877	93.115	-12.977
16.064	-80.776	91.792
-40.236	30.031	26.313
-43.608	69.463	93.609
49.894	58.47	-35.739
-66.856	-24.736	-26.772
-95.811	-83.652	96.301
-85.182	-47.623	-75.024
-25.687	-94.994	64.311
52.38	-28.059	-53.402
-9.423	-23.627	-3.429
60.459	10.883	-91.458
72.245	98.059	-38.536
49.012	-0.008	-42.668
11.119	-45.744	52.417
98.864	48.447	35.417
29.32	89.513	-20.071
15.855	-99.544	37.856
84.402	47.179	-46.981
-92.044	91.817	-1.057
11.496	-81.528	-53.206
93.936	17.676	-66.265
83.408	-69.789	34.993
3.96	27.957	-80.936
86.442	67.075	-58.47
-52.115	-4.722	-99.946
-35.861	59.726	27.702
92.764	36.486	-32.034
-38.317	2.291	41.058
-79.558	-89.779	-15.397
79.239	16.798	83.577
90.934	35.092	57.443
-66.116	30.822	81.098
-23.352	4.253	95.196
-23.876	71.674	-20.968
-85.843	1.61	90.573
-66.226	-91.34	74.301
46.961	37.364	86.666
-6.082	76.568	50.95
-74.589	95.974	50.754
45.365	-67.087	25.767
31.884	23.578	50.947
31.274	84.601	-9.594
-5.82	92.814	55.589
85.779	-93.014	-24.202
46.622	-32.522	-13.375
46.797	-75.367	-27.676
94.437	1.385	6.397
-73.545	-85.898	36.031
32.067	-85.345	-37.322
-13.609	-81.744	-35.526
-38.511	89.792	51.027
91.35	-7.775	68.691
28.256	4.847	25.35
-14.122	-34.15	63.348
0.294	-4.569	-92.318
85.889	-10.121	-87.009
-28.803	-26.636	96.756
-44.332	-96.621	-9.482
96.39	-91.042	44.697
-30.876	28.055	-28.751
39.748	-60.987	96.07
95.006	-62.256	55.891
-71.525	-68.833	-63.203
-33.377	-19.158	-47.182
76.555	34.044	-24.043
47.053	12.657	-95.413
92.784	82.702	13.252
-7.196	-74.545	-45.042
-21.224	23.221	39.04
75.7	-31.451	-39.058
3.624	-68.533	-64.805
79.516	18.699	-20.656
16.23	26.184	-70.704
2.615	-94.317	-28.87
-24.539	-36.937	-78.388
-26.819	-26.128	3.194
33.564	-57.614	-30.692
75.955	55.218	43.222
27.926	87.489	-21.122
37.11	-12.905	92.722
-30.054	-38.356	3.703
9.092	60.454	34.724
-17.857	19.534	-82.807
-97.367	99.869	-98.675
-16.408	-71.515	24.619
31.387	-13.897	58.424
-89.309	-11.037	-14.434
-31.188	-90.223	-44.948
-96.987	-0.414	-40.712
20.61	24.851	93.224
78.071	-84.069	-22.263
-8.059	44.367	-20.832
-90.335	-97.537	-43.381
89.881	-95.796	18.957
-29.506	-23.585	43.193
-19.161	-89.009	-57.897
